class	property	type	description
CreativeWork	schemaVersion	Text	Indicates (by URL or string) a particular version of a schema used in some CreativeWork. For example, a document could declare a schemaVersion using an URL such as http://schema.org/version/2.0/ if precise indication of schema version was required by some application.
PlanAction	scheduledTime	DateTime	The time the object is scheduled to.
Invoice	scheduledPaymentDate	Date	The date the invoice is scheduled to be paid.
NutritionInformation	saturatedFatContent	Mass	The number of grams of saturated fat.
SoftwareSourceCode	sampleType	Text	What type of code sample: full (compile ready) solution, code snippet, inline code, scripts, template.
Thing	sameAs	URL	URL of a reference Web page that unambiguously indicates the item's identity. E.g. the URL of the item's Wikipedia page, Wikidata entry, or official website.
JobPosting	salaryCurrency	Text	The currency (coded using [ISO 4217](http://en.wikipedia.org/wiki/ISO_4217) ) used for the main salary information in this job posting or for this employee.
EmployeeRole	salaryCurrency	Text	The currency (coded using [ISO 4217](http://en.wikipedia.org/wiki/ISO_4217) ) used for the main salary information in this job posting or for this employee.
SoftwareSourceCode	runtimePlatform	Text	Runtime platform or script interpreter dependencies (Example - Java v1, Python2.3, .Net Framework 3.0).
SoftwareSourceCode	runtime	Text	Runtime platform or script interpreter dependencies (Example - Java v1, Python2.3, .Net Framework 3.0).
RsvpAction	rsvpResponse	RsvpResponseType	The response (yes, no, maybe) to the RSVP.
Role	roleName	URL	A role played, performed or filled by a person or organization. For example, the team of creators for a comic book might fill the roles named 'inker', 'penciller', and 'letterer'; or an athlete in a SportsTeam might play in the position named 'Quarterback'.
Role	roleName	Text	A role played, performed or filled by a person or organization. For example, the team of creators for a comic book might fill the roles named 'inker', 'penciller', and 'letterer'; or an athlete in a SportsTeam might play in the position named 'Quarterback'.
Product	reviews	Review	Review of the item.
Place	reviews	Review	Review of the item.
Organization	reviews	Review	Review of the item.
Offer	reviews	Review	Review of the item.
CreativeWork	reviews	Review	Review of the item.
WebPage	reviewedBy	Person	People or organizations that have reviewed the content on this web page for accuracy and/or completeness.
WebPage	reviewedBy	Organization	People or organizations that have reviewed the content on this web page for accuracy and/or completeness.
Review	reviewRating	Rating	The rating given in this review. Note that reviews can themselves be rated. The ```reviewRating``` applies to rating given by the review. The [[aggregateRating]] property applies to the review itself, as a creative work.
AggregateRating	reviewCount	Integer	The count of total number of reviews.
Review	reviewBody	Text	The actual body of the review.
Service	review	Review	A review of the item.
Product	review	Review	A review of the item.
Place	review	Review	A review of the item.
Organization	review	Review	A review of the item.
Offer	review	Review	A review of the item.
Event	review	Review	A review of the item.
CreativeWork	review	Review	A review of the item.
Brand	review	Review	A review of the item.
ReviewAction	resultReview	Review	A sub property of result. The review that resulted in the performing of the action.
ReplyAction	resultComment	Comment	A sub property of result. The Comment created or sent as a result of this action.
CommentAction	resultComment	Comment	A sub property of result. The Comment created or sent as a result of this action.
Action	result	Thing	The result produced in the action. e.g. John wrote *a book*.
JobPosting	responsibilities	Text	Responsibilities associated with this role.
Reservation	reservedTicket	Ticket	A ticket associated with the reservation.
Reservation	reservationStatus	ReservationStatusType	The current status of the reservation.
Reservation	reservationId	Text	A unique identifier for the reservation.
Reservation	reservationFor	Thing	The thing -- flight, event, restaurant,etc. being reserved.
MediaObject	requiresSubscription	Boolean	Indicates if use of the media require a subscription  (either paid or free). Allowed values are ```true``` or ```false``` (note that an earlier version had 'yes', 'no').
SoftwareApplication	requirements	URL	Component dependency requirements for application. This includes runtime environments and shared libraries that are not included in the application distribution package, but required to run the application (Examples: DirectX, Java or .NET runtime).
SoftwareApplication	requirements	Text	Component dependency requirements for application. This includes runtime environments and shared libraries that are not included in the application distribution package, but required to run the application (Examples: DirectX, Java or .NET runtime).
HowToItem	requiredQuantity	Text	The required quantity of the item(s).
HowToItem	requiredQuantity	QuantitativeValue	The required quantity of the item(s).
HowToItem	requiredQuantity	Number	The required quantity of the item(s).
PeopleAudience	requiredMinAge	Integer	Audiences defined by a person's minimum age.
PeopleAudience	requiredMaxAge	Integer	Audiences defined by a person's maximum age.
PeopleAudience	requiredGender	Text	Audiences defined by a person's gender.
LoanOrCredit	requiredCollateral	Thing	Assets required to secure loan or credit repayments. It may take form of third party pledge, goods, financial instruments (cash, securities, etc.)
LoanOrCredit	requiredCollateral	Text	Assets required to secure loan or credit repayments. It may take form of third party pledge, goods, financial instruments (cash, securities, etc.)
ImageObject	representativeOfPage	Boolean	Indicates whether this image is representative of the content of the page.
Report	reportNumber	Text	The number or other unique designator assigned to a Report by the publishing organization.
UserComments	replyToUrl	URL	The URL at which a reply may be posted to the specified UserComment.
ReplaceAction	replacer	Thing	A sub property of object. The object that replaces.
ReplaceAction	replacee	Thing	A sub property of object. The object that is being replaced.
Event	remainingAttendeeCapacity	Integer	The number of attendee places for an event that remain unallocated.
CreativeWork	releasedEvent	PublicationEvent	The place and time the release was issued, expressed as a PublicationEvent.
MusicRelease	releaseOf	MusicAlbum	The album this is a release of.
SoftwareApplication	releaseNotes	URL	Description of what changed in this version.
SoftwareApplication	releaseNotes	Text	Description of what changed in this version.
Product	releaseDate	Date	The release date of a product or product model. This can be used to distinguish the exact variant of a product.
Person	relatedTo	Person	The most generic familial relation.
WebPage	relatedLink	URL	A link related to this web page, for example to other related web pages.
MediaObject	regionsAllowed	Place	The regions where the media is allowed. If not specified, then it's assumed to be allowed everywhere. Specify the countries in [ISO 3166 format](http://en.wikipedia.org/wiki/ISO_3166).
Invoice	referencesOrder	Order	The Order(s) related to this Invoice. One or more Orders may be combined into a single Invoice.
UnitPriceSpecification	referenceQuantity	QuantitativeValue	The reference quantity for which a certain price applies, e.g. 1 EUR per 4 kWh of electricity. This property is a replacement for unitOfMeasurement for the advanced cases where the price does not relate to a standard unit.
MusicRecording	recordingOf	MusicComposition	The composition this track is a recording of.
Event	recordedIn	CreativeWork	The CreativeWork that captured all or part of this Event.
CreativeWork	recordedAt	Event	The Event where the CreativeWork was recorded. The CreativeWork may capture all or part of the event.
MusicComposition	recordedAs	MusicRecording	An audio recording of the work.
MusicRelease	recordLabel	Organization	The label that issued the release.
TipAction	recipient	Person	A sub property of participant. The participant who is at the receiving end of the action.
TipAction	recipient	Organization	A sub property of participant. The participant who is at the receiving end of the action.
TipAction	recipient	ContactPoint	A sub property of participant. The participant who is at the receiving end of the action.
TipAction	recipient	Audience	A sub property of participant. The participant who is at the receiving end of the action.
SendAction	recipient	Person	A sub property of participant. The participant who is at the receiving end of the action.
SendAction	recipient	Organization	A sub property of participant. The participant who is at the receiving end of the action.
SendAction	recipient	ContactPoint	A sub property of participant. The participant who is at the receiving end of the action.
SendAction	recipient	Audience	A sub property of participant. The participant who is at the receiving end of the action.
ReturnAction	recipient	Person	A sub property of participant. The participant who is at the receiving end of the action.
ReturnAction	recipient	Organization	A sub property of participant. The participant who is at the receiving end of the action.
ReturnAction	recipient	ContactPoint	A sub property of participant. The participant who is at the receiving end of the action.
ReturnAction	recipient	Audience	A sub property of participant. The participant who is at the receiving end of the action.
PayAction	recipient	Person	A sub property of participant. The participant who is at the receiving end of the action.
PayAction	recipient	Organization	A sub property of participant. The participant who is at the receiving end of the action.
PayAction	recipient	ContactPoint	A sub property of participant. The participant who is at the receiving end of the action.
PayAction	recipient	Audience	A sub property of participant. The participant who is at the receiving end of the action.
Message	recipient	Person	A sub property of participant. The participant who is at the receiving end of the action.
Message	recipient	Organization	A sub property of participant. The participant who is at the receiving end of the action.
Message	recipient	ContactPoint	A sub property of participant. The participant who is at the receiving end of the action.
Message	recipient	Audience	A sub property of participant. The participant who is at the receiving end of the action.
GiveAction	recipient	Person	A sub property of participant. The participant who is at the receiving end of the action.
GiveAction	recipient	Organization	A sub property of participant. The participant who is at the receiving end of the action.
GiveAction	recipient	ContactPoint	A sub property of participant. The participant who is at the receiving end of the action.
GiveAction	recipient	Audience	A sub property of participant. The participant who is at the receiving end of the action.
DonateAction	recipient	Person	A sub property of participant. The participant who is at the receiving end of the action.
DonateAction	recipient	Organization	A sub property of participant. The participant who is at the receiving end of the action.
DonateAction	recipient	ContactPoint	A sub property of participant. The participant who is at the receiving end of the action.
DonateAction	recipient	Audience	A sub property of participant. The participant who is at the receiving end of the action.
CommunicateAction	recipient	Person	A sub property of participant. The participant who is at the receiving end of the action.
CommunicateAction	recipient	Organization	A sub property of participant. The participant who is at the receiving end of the action.
CommunicateAction	recipient	ContactPoint	A sub property of participant. The participant who is at the receiving end of the action.
CommunicateAction	recipient	Audience	A sub property of participant. The participant who is at the receiving end of the action.
AuthorizeAction	recipient	Person	A sub property of participant. The participant who is at the receiving end of the action.
AuthorizeAction	recipient	Organization	A sub property of participant. The participant who is at the receiving end of the action.
AuthorizeAction	recipient	ContactPoint	A sub property of participant. The participant who is at the receiving end of the action.
AuthorizeAction	recipient	Audience	A sub property of participant. The participant who is at the receiving end of the action.
Recipe	recipeYield	Text	The quantity produced by the recipe (for example, number of people served, number of servings, etc).
Recipe	recipeYield	QuantitativeValue	The quantity produced by the recipe (for example, number of people served, number of servings, etc).
Recipe	recipeInstructions	Text	A step in making the recipe, in the form of a single item (document, video, etc.) or an ordered list with HowToStep and/or HowToSection items.
Recipe	recipeInstructions	ItemList	A step in making the recipe, in the form of a single item (document, video, etc.) or an ordered list with HowToStep and/or HowToSection items.
Recipe	recipeInstructions	CreativeWork	A step in making the recipe, in the form of a single item (document, video, etc.) or an ordered list with HowToStep and/or HowToSection items.
Recipe	recipeIngredient	Text	A single ingredient used in the recipe, e.g. sugar, flour or garlic.
Recipe	recipeCuisine	Text	The cuisine of the recipe (for example, French or Ethiopian).
Recipe	recipeCategory	Text	The category of the recipe—for example, appetizer, entree, etc.
CookAction	recipe	Recipe	A sub property of instrument. The recipe/instructions used to perform the action.
RentAction	realEstateAgent	RealEstateAgent	A sub property of participant. The real estate agent involved in the action.
PropertyValueSpecification	readonlyValue	Boolean	"Whether or not a property is mutable.  Default is false. Specifying this for a property that also has a value makes it act similar to a ""hidden"" input in an HTML form."
Rating	ratingValue	Text	The rating for the content.
Rating	ratingValue	Number	The rating for the content.
AggregateRating	ratingCount	Integer	The count of total number of ratings.
AskAction	question	Question	A sub property of object. A question.
VideoGameSeries	quest	Thing	The task that a player-controlled character, or group of characters may complete in order to gain a reward.
Game	quest	Thing	The task that a player-controlled character, or group of characters may complete in order to gain a reward.
SearchAction	query	Text	A sub property of instrument. The query used on this action.
JobPosting	qualifications	Text	Specific qualifications required for this role.
Vehicle	purchaseDate	Date	The date the item e.g. vehicle was purchased by the current owner.
Product	purchaseDate	Date	The date the item e.g. vehicle was purchased by the current owner.
Person	publishingPrinciples	URL	"The publishingPrinciples property indicates (typically via [[URL]]) a document describing the editorial principles of an [[Organization]] (or individual e.g. a [[Person]] writing a blog) that relate to their activities as a publisher, e.g. ethics or diversity policies. When applied to a [[CreativeWork]] (e.g. [[NewsArticle]]) the principles are those of the party primarily responsible for the creation of the [[CreativeWork]].

While such policies are most typically expressed in natural language, sometimes related information (e.g. indicating a [[funder]]) can be expressed using schema.org terminology.
"
Person	publishingPrinciples	CreativeWork	"The publishingPrinciples property indicates (typically via [[URL]]) a document describing the editorial principles of an [[Organization]] (or individual e.g. a [[Person]] writing a blog) that relate to their activities as a publisher, e.g. ethics or diversity policies. When applied to a [[CreativeWork]] (e.g. [[NewsArticle]]) the principles are those of the party primarily responsible for the creation of the [[CreativeWork]].

While such policies are most typically expressed in natural language, sometimes related information (e.g. indicating a [[funder]]) can be expressed using schema.org terminology.
"
Organization	publishingPrinciples	URL	"The publishingPrinciples property indicates (typically via [[URL]]) a document describing the editorial principles of an [[Organization]] (or individual e.g. a [[Person]] writing a blog) that relate to their activities as a publisher, e.g. ethics or diversity policies. When applied to a [[CreativeWork]] (e.g. [[NewsArticle]]) the principles are those of the party primarily responsible for the creation of the [[CreativeWork]].

While such policies are most typically expressed in natural language, sometimes related information (e.g. indicating a [[funder]]) can be expressed using schema.org terminology.
"
Organization	publishingPrinciples	CreativeWork	"The publishingPrinciples property indicates (typically via [[URL]]) a document describing the editorial principles of an [[Organization]] (or individual e.g. a [[Person]] writing a blog) that relate to their activities as a publisher, e.g. ethics or diversity policies. When applied to a [[CreativeWork]] (e.g. [[NewsArticle]]) the principles are those of the party primarily responsible for the creation of the [[CreativeWork]].

While such policies are most typically expressed in natural language, sometimes related information (e.g. indicating a [[funder]]) can be expressed using schema.org terminology.
"
CreativeWork	publishingPrinciples	URL	"The publishingPrinciples property indicates (typically via [[URL]]) a document describing the editorial principles of an [[Organization]] (or individual e.g. a [[Person]] writing a blog) that relate to their activities as a publisher, e.g. ethics or diversity policies. When applied to a [[CreativeWork]] (e.g. [[NewsArticle]]) the principles are those of the party primarily responsible for the creation of the [[CreativeWork]].

While such policies are most typically expressed in natural language, sometimes related information (e.g. indicating a [[funder]]) can be expressed using schema.org terminology.
"
CreativeWork	publishingPrinciples	CreativeWork	"The publishingPrinciples property indicates (typically via [[URL]]) a document describing the editorial principles of an [[Organization]] (or individual e.g. a [[Person]] writing a blog) that relate to their activities as a publisher, e.g. ethics or diversity policies. When applied to a [[CreativeWork]] (e.g. [[NewsArticle]]) the principles are those of the party primarily responsible for the creation of the [[CreativeWork]].

While such policies are most typically expressed in natural language, sometimes related information (e.g. indicating a [[funder]]) can be expressed using schema.org terminology.
"
CreativeWork	publisher	Person	The publisher of the creative work.
CreativeWork	publisher	Organization	The publisher of the creative work.
PublicationEvent	publishedOn	BroadcastService	A broadcast service associated with the publication event.
CreativeWork	publication	PublicationEvent	A publication event associated with the item.
Place	publicAccess	Boolean	A flag to signal that the [[Place]] is open to public visitors.  If this property is omitted there is no assumed default boolean value
ServiceChannel	providesService	Service	The service provided by this channel.
BroadcastChannel	providesBroadcastService	BroadcastService	The BroadcastService offered on this channel.
Service	providerMobility	Text	Indicates the mobility of a provided service (e.g. 'static', 'dynamic').
Trip	provider	Person	The service provider, service operator, or service performer; the goods producer. Another party (a seller) may offer those services or goods on behalf of the provider. A provider may also serve as the seller.
Trip	provider	Organization	The service provider, service operator, or service performer; the goods producer. Another party (a seller) may offer those services or goods on behalf of the provider. A provider may also serve as the seller.
Service	provider	Person	The service provider, service operator, or service performer; the goods producer. Another party (a seller) may offer those services or goods on behalf of the provider. A provider may also serve as the seller.
Service	provider	Organization	The service provider, service operator, or service performer; the goods producer. Another party (a seller) may offer those services or goods on behalf of the provider. A provider may also serve as the seller.
Reservation	provider	Person	The service provider, service operator, or service performer; the goods producer. Another party (a seller) may offer those services or goods on behalf of the provider. A provider may also serve as the seller.
Reservation	provider	Organization	The service provider, service operator, or service performer; the goods producer. Another party (a seller) may offer those services or goods on behalf of the provider. A provider may also serve as the seller.
ParcelDelivery	provider	Person	The service provider, service operator, or service performer; the goods producer. Another party (a seller) may offer those services or goods on behalf of the provider. A provider may also serve as the seller.
ParcelDelivery	provider	Organization	The service provider, service operator, or service performer; the goods producer. Another party (a seller) may offer those services or goods on behalf of the provider. A provider may also serve as the seller.
Invoice	provider	Person	The service provider, service operator, or service performer; the goods producer. Another party (a seller) may offer those services or goods on behalf of the provider. A provider may also serve as the seller.
Invoice	provider	Organization	The service provider, service operator, or service performer; the goods producer. Another party (a seller) may offer those services or goods on behalf of the provider. A provider may also serve as the seller.
CreativeWork	provider	Person	The service provider, service operator, or service performer; the goods producer. Another party (a seller) may offer those services or goods on behalf of the provider. A provider may also serve as the seller.
CreativeWork	provider	Organization	The service provider, service operator, or service performer; the goods producer. Another party (a seller) may offer those services or goods on behalf of the provider. A provider may also serve as the seller.
NutritionInformation	proteinContent	Mass	The number of grams of protein.
PropertyValue	propertyID	URL	"A commonly used identifier for the characteristic represented by the property, e.g. a manufacturer or a standard code for a property. propertyID can be
(1) a prefixed string, mainly meant to be used with standards for product properties; (2) a site-specific, non-prefixed string (e.g. the primary key of the property or the vendor-specific id of the property), or (3)
a URL indicating the type of the property, either pointing to an external vocabulary, or a Web resource that describes the property (e.g. a glossary entry).
Standards bodies should promote a standard prefix for the identifiers of properties from their standards."
PropertyValue	propertyID	Text	"A commonly used identifier for the characteristic represented by the property, e.g. a manufacturer or a standard code for a property. propertyID can be
(1) a prefixed string, mainly meant to be used with standards for product properties; (2) a site-specific, non-prefixed string (e.g. the primary key of the property or the vendor-specific id of the property), or (3)
a URL indicating the type of the property, either pointing to an external vocabulary, or a Web resource that describes the property (e.g. a glossary entry).
Standards bodies should promote a standard prefix for the identifiers of properties from their standards."
APIReference	programmingModel	Text	Indicates whether API is managed or unmanaged.
SoftwareSourceCode	programmingLanguage	Text	The computer programming language.
SoftwareSourceCode	programmingLanguage	ComputerLanguage	The computer programming language.
ProgramMembership	programName	Text	The program providing the membership.
Reservation	programMembershipUsed	ProgramMembership	Any membership in a frequent flyer, hotel loyalty program, etc. being applied to the reservation.
TechArticle	proficiencyLevel	Text	Proficiency needed for this content; expected values: 'Beginner', 'Expert'.
Vehicle	productionDate	Date	The date of production of the item, e.g. vehicle.
Product	productionDate	Date	The date of production of the item, e.g. vehicle.
VideoGameSeries	productionCompany	Organization	The production company or studio responsible for the item e.g. series, video game, episode etc.
TVSeries	productionCompany	Organization	The production company or studio responsible for the item e.g. series, video game, episode etc.
RadioSeries	productionCompany	Organization	The production company or studio responsible for the item e.g. series, video game, episode etc.
MovieSeries	productionCompany	Organization	The production company or studio responsible for the item e.g. series, video game, episode etc.
Movie	productionCompany	Organization	The production company or studio responsible for the item e.g. series, video game, episode etc.
MediaObject	productionCompany	Organization	The production company or studio responsible for the item e.g. series, video game, episode etc.
Episode	productionCompany	Organization	The production company or studio responsible for the item e.g. series, video game, episode etc.
CreativeWorkSeason	productionCompany	Organization	The production company or studio responsible for the item e.g. series, video game, episode etc.
ContactPoint	productSupported	Text	"The product or service this support contact point is related to (such as product support for a particular product line). This can be a specific product or product line (e.g. ""iPhone"") or a general category of products or services (e.g. ""smartphones"")."
ContactPoint	productSupported	Product	"The product or service this support contact point is related to (such as product support for a particular product line). This can be a specific product or product line (e.g. ""iPhone"") or a general category of products or services (e.g. ""smartphones"")."
Product	productID	Text	"The product identifier, such as ISBN. For example: ``` meta itemprop=""productID"" content=""isbn:123-456-789"" ```."
Service	produces	Thing	The tangible thing generated by the service, e.g. a passport, permit, etc.
CreativeWork	producer	Person	The person or organization who produced the work (e.g. music album, movie, tv/radio series etc.).
CreativeWork	producer	Organization	The person or organization who produced the work (e.g. music album, movie, tv/radio series etc.).
SoftwareApplication	processorRequirements	Text	Processor architecture required to run the application (e.g. IA64).
ServiceChannel	processingTime	Duration	Estimated processing time for the service using this channel.
NewsArticle	printSection	Text	If this NewsArticle appears in print, this field indicates the print section in which the article appeared.
NewsArticle	printPage	Text	If this NewsArticle appears in print, this field indicates the name of the page on which the article is found. Please note that this field is intended for the exact page name (e.g. A5, B18).
NewsArticle	printEdition	Text	The edition of the print product in which the NewsArticle appears.
NewsArticle	printColumn	Text	The number of the column in which the NewsArticle appears in the print edition.
WebPage	primaryImageOfPage	ImageObject	Indicates the main image on the page.
Offer	priceValidUntil	Date	The date after which the price is no longer available.
UnitPriceSpecification	priceType	Text	A short text or acronym indicating multiple price specifications for the same offer, e.g. SRP for the suggested retail price or INVOICE for the invoice price, mostly used in the car industry.
TradeAction	priceSpecification	PriceSpecification	One or more detailed price specifications, indicating the unit price and delivery or payment charges.
Offer	priceSpecification	PriceSpecification	One or more detailed price specifications, indicating the unit price and delivery or payment charges.
Demand	priceSpecification	PriceSpecification	One or more detailed price specifications, indicating the unit price and delivery or payment charges.
LocalBusiness	priceRange	Text	The price range of the business, for example ```$$$```.
Ticket	priceCurrency	Text	"The currency of the price, or a price component when attached to [[PriceSpecification]] and its subtypes.\n\nUse standard formats: [ISO 4217 currency format](http://en.wikipedia.org/wiki/ISO_4217) e.g. ""USD""; [Ticker symbol](https://en.wikipedia.org/wiki/List_of_cryptocurrencies) for cryptocurrencies e.g. ""BTC""; well known names for [Local Exchange Tradings Systems](https://en.wikipedia.org/wiki/Local_exchange_trading_system) (LETS) and other currency types e.g. ""Ithaca HOUR""."
Reservation	priceCurrency	Text	"The currency of the price, or a price component when attached to [[PriceSpecification]] and its subtypes.\n\nUse standard formats: [ISO 4217 currency format](http://en.wikipedia.org/wiki/ISO_4217) e.g. ""USD""; [Ticker symbol](https://en.wikipedia.org/wiki/List_of_cryptocurrencies) for cryptocurrencies e.g. ""BTC""; well known names for [Local Exchange Tradings Systems](https://en.wikipedia.org/wiki/Local_exchange_trading_system) (LETS) and other currency types e.g. ""Ithaca HOUR""."
PriceSpecification	priceCurrency	Text	"The currency of the price, or a price component when attached to [[PriceSpecification]] and its subtypes.\n\nUse standard formats: [ISO 4217 currency format](http://en.wikipedia.org/wiki/ISO_4217) e.g. ""USD""; [Ticker symbol](https://en.wikipedia.org/wiki/List_of_cryptocurrencies) for cryptocurrencies e.g. ""BTC""; well known names for [Local Exchange Tradings Systems](https://en.wikipedia.org/wiki/Local_exchange_trading_system) (LETS) and other currency types e.g. ""Ithaca HOUR""."
Offer	priceCurrency	Text	"The currency of the price, or a price component when attached to [[PriceSpecification]] and its subtypes.\n\nUse standard formats: [ISO 4217 currency format](http://en.wikipedia.org/wiki/ISO_4217) e.g. ""USD""; [Ticker symbol](https://en.wikipedia.org/wiki/List_of_cryptocurrencies) for cryptocurrencies e.g. ""BTC""; well known names for [Local Exchange Tradings Systems](https://en.wikipedia.org/wiki/Local_exchange_trading_system) (LETS) and other currency types e.g. ""Ithaca HOUR""."
CompoundPriceSpecification	priceComponent	UnitPriceSpecification	This property links to all [[UnitPriceSpecification]] nodes that apply in parallel for the [[CompoundPriceSpecification]] node.
TradeAction	price	Text	"The offer price of a product, or of a price component when attached to PriceSpecification and its subtypes.\n\nUsage guidelines:\n\n* Use the [[priceCurrency]] property (with standard formats: [ISO 4217 currency format](http://en.wikipedia.org/wiki/ISO_4217) e.g. ""USD""; [Ticker symbol](https://en.wikipedia.org/wiki/List_of_cryptocurrencies) for cryptocurrencies e.g. ""BTC""; well known names for [Local Exchange Tradings Systems](https://en.wikipedia.org/wiki/Local_exchange_trading_system) (LETS) and other currency types e.g. ""Ithaca HOUR"") instead of including [ambiguous symbols](http://en.wikipedia.org/wiki/Dollar_sign#Currencies_that_use_the_dollar_or_peso_sign) such as '$' in the value.\n* Use '.' (Unicode 'FULL STOP' (U+002E)) rather than ',' to indicate a decimal point. Avoid using these symbols as a readability separator.\n* Note that both [RDFa](http://www.w3.org/TR/xhtml-rdfa-primer/#using-the-content-attribute) and Microdata syntax allow the use of a ""content="" attribute for publishing simple machine-readable values alongside more human-friendly formatting.\n* Use values from 0123456789 (Unicode 'DIGIT ZERO' (U+0030) to 'DIGIT NINE' (U+0039)) rather than superficially similiar Unicode symbols.
"
TradeAction	price	Number	"The offer price of a product, or of a price component when attached to PriceSpecification and its subtypes.\n\nUsage guidelines:\n\n* Use the [[priceCurrency]] property (with standard formats: [ISO 4217 currency format](http://en.wikipedia.org/wiki/ISO_4217) e.g. ""USD""; [Ticker symbol](https://en.wikipedia.org/wiki/List_of_cryptocurrencies) for cryptocurrencies e.g. ""BTC""; well known names for [Local Exchange Tradings Systems](https://en.wikipedia.org/wiki/Local_exchange_trading_system) (LETS) and other currency types e.g. ""Ithaca HOUR"") instead of including [ambiguous symbols](http://en.wikipedia.org/wiki/Dollar_sign#Currencies_that_use_the_dollar_or_peso_sign) such as '$' in the value.\n* Use '.' (Unicode 'FULL STOP' (U+002E)) rather than ',' to indicate a decimal point. Avoid using these symbols as a readability separator.\n* Note that both [RDFa](http://www.w3.org/TR/xhtml-rdfa-primer/#using-the-content-attribute) and Microdata syntax allow the use of a ""content="" attribute for publishing simple machine-readable values alongside more human-friendly formatting.\n* Use values from 0123456789 (Unicode 'DIGIT ZERO' (U+0030) to 'DIGIT NINE' (U+0039)) rather than superficially similiar Unicode symbols.
"
PriceSpecification	price	Text	"The offer price of a product, or of a price component when attached to PriceSpecification and its subtypes.\n\nUsage guidelines:\n\n* Use the [[priceCurrency]] property (with standard formats: [ISO 4217 currency format](http://en.wikipedia.org/wiki/ISO_4217) e.g. ""USD""; [Ticker symbol](https://en.wikipedia.org/wiki/List_of_cryptocurrencies) for cryptocurrencies e.g. ""BTC""; well known names for [Local Exchange Tradings Systems](https://en.wikipedia.org/wiki/Local_exchange_trading_system) (LETS) and other currency types e.g. ""Ithaca HOUR"") instead of including [ambiguous symbols](http://en.wikipedia.org/wiki/Dollar_sign#Currencies_that_use_the_dollar_or_peso_sign) such as '$' in the value.\n* Use '.' (Unicode 'FULL STOP' (U+002E)) rather than ',' to indicate a decimal point. Avoid using these symbols as a readability separator.\n* Note that both [RDFa](http://www.w3.org/TR/xhtml-rdfa-primer/#using-the-content-attribute) and Microdata syntax allow the use of a ""content="" attribute for publishing simple machine-readable values alongside more human-friendly formatting.\n* Use values from 0123456789 (Unicode 'DIGIT ZERO' (U+0030) to 'DIGIT NINE' (U+0039)) rather than superficially similiar Unicode symbols.
"
PriceSpecification	price	Number	"The offer price of a product, or of a price component when attached to PriceSpecification and its subtypes.\n\nUsage guidelines:\n\n* Use the [[priceCurrency]] property (with standard formats: [ISO 4217 currency format](http://en.wikipedia.org/wiki/ISO_4217) e.g. ""USD""; [Ticker symbol](https://en.wikipedia.org/wiki/List_of_cryptocurrencies) for cryptocurrencies e.g. ""BTC""; well known names for [Local Exchange Tradings Systems](https://en.wikipedia.org/wiki/Local_exchange_trading_system) (LETS) and other currency types e.g. ""Ithaca HOUR"") instead of including [ambiguous symbols](http://en.wikipedia.org/wiki/Dollar_sign#Currencies_that_use_the_dollar_or_peso_sign) such as '$' in the value.\n* Use '.' (Unicode 'FULL STOP' (U+002E)) rather than ',' to indicate a decimal point. Avoid using these symbols as a readability separator.\n* Note that both [RDFa](http://www.w3.org/TR/xhtml-rdfa-primer/#using-the-content-attribute) and Microdata syntax allow the use of a ""content="" attribute for publishing simple machine-readable values alongside more human-friendly formatting.\n* Use values from 0123456789 (Unicode 'DIGIT ZERO' (U+0030) to 'DIGIT NINE' (U+0039)) rather than superficially similiar Unicode symbols.
"
Offer	price	Text	"The offer price of a product, or of a price component when attached to PriceSpecification and its subtypes.\n\nUsage guidelines:\n\n* Use the [[priceCurrency]] property (with standard formats: [ISO 4217 currency format](http://en.wikipedia.org/wiki/ISO_4217) e.g. ""USD""; [Ticker symbol](https://en.wikipedia.org/wiki/List_of_cryptocurrencies) for cryptocurrencies e.g. ""BTC""; well known names for [Local Exchange Tradings Systems](https://en.wikipedia.org/wiki/Local_exchange_trading_system) (LETS) and other currency types e.g. ""Ithaca HOUR"") instead of including [ambiguous symbols](http://en.wikipedia.org/wiki/Dollar_sign#Currencies_that_use_the_dollar_or_peso_sign) such as '$' in the value.\n* Use '.' (Unicode 'FULL STOP' (U+002E)) rather than ',' to indicate a decimal point. Avoid using these symbols as a readability separator.\n* Note that both [RDFa](http://www.w3.org/TR/xhtml-rdfa-primer/#using-the-content-attribute) and Microdata syntax allow the use of a ""content="" attribute for publishing simple machine-readable values alongside more human-friendly formatting.\n* Use values from 0123456789 (Unicode 'DIGIT ZERO' (U+0030) to 'DIGIT NINE' (U+0039)) rather than superficially similiar Unicode symbols.
"
